Temp	D	Tilt	SmCaPa	SmHel	SmCsPf	SmCaPf	SmA	SmAsymHel1	SmAsymHel2
73.03086426869702	53.89070417886226	25.884243573979028	0.09889002987582973	0.081708797113204	0.15992797509636514	0.06471810003130263	0.12659258370518822	0.08741438782756683	0.06622806193381803
76.36710243714535	53.83790214555836	25.999697197961552	0.09838284944419762	0.08133386978807855	0.15992797509636514	0.06447250396983129	0.12659258370518822	0.08699570805329371	0.06597102957255063
79.7033406055937	53.785353480936344	26.114125185335897	0.09787860400311921	0.08096108018933301	0.15992797509636514	0.0642282883531049	0.12659258370518822	0.08657942716215139	0.06571544374668048
83.03957877404203	53.7214032256297	26.252755088568183	0.09726562594257193	0.08050786149587941	0.15992797509636514	0.06393135669880223	0.12659258370518822	0.08607334965891811	0.0654046899566938
86.37581694249036	53.6522842492127	26.401828915216736	0.09660393712473603	0.08001857466576623	0.15992797509636514	0.06361076169603797	0.12659258370518822	0.08552701672933583	0.06506917428676773
89.73847328648071	53.58304930789899	26.55037367687822	0.09594200517182894	0.07952905324435955	0.15992797509636514	0.06328997882306586	0.12659258370518822	0.08498044193291099	0.06473346511523292
93.04128437567181	53.482252146355286	26.76526844512675	0.09497986845675466	0.07881742238400635	0.15992797509636514	0.06282358693060086	0.12659258370518822	0.08418590679486626	0.06424537716655032
96.5638209354644	53.3317484681682	27.083194207664974	0.09354669120663717	0.0777571784964497	0.15992797509636514	0.06212858551000111	0.12659258370518822	0.08300222417890923	0.0635180572256746
99.68208247749716	53.197345251848006	27.364220644091098	0.09227029468928372	0.07681270274218677	0.15992797509636514	0.06150933638469258	0.12659258370518822	0.08194786715122548	0.06287002447492807
102.85808842214749	53.050136513118574	27.668997900584777	0.09087603539962053	0.0757807814771232	0.15992797509636514	0.06083260788928202	0.12659258370518822	0.08079597630928848	0.062161853890820185
105.88427418094939	52.911221022917886	27.953795958130307	0.08956391673544117	0.07480943278900565	0.15992797509636514	0.06019546385698682	0.12659258370518822	0.07971178133132018	0.061495119598690806
108.40679572294691	52.723634266522296	28.334198072076997	0.08779761047758572	0.0735015145971245	0.15992797509636514	0.05933733876233949	0.12659258370518822	0.07825204022942911	0.0605971608391207
111.21598652537234	52.58280237456099	28.61673617543939	0.08647572316004615	0.07252242648327045	0.15992797509636514	0.0586947994610707	0.12659258370518822	0.07715939300828967	0.05992480981938808
113.39280446345437	52.37123800497868	29.036444760743404	0.08449665280008056	0.07105617326791824	0.15992797509636514	0.05773229615554709	0.12659258370518822	0.07552322622509955	0.05891767287169625
116.3121868407261	52.135969183889905	29.496769497239423	0.0823053281809738	0.06943209714500798	0.15992797509636514	0.05666583426601468	0.12659258370518822	0.07371115611830859	0.05780178923875168
119.37005720204485	51.84921513505438	30.049141365470607	0.07964796689320575	0.06746182316609484	0.15992797509636514	0.05537153416620466	0.12659258370518822	0.07151310803925925	0.05644755515756228
122.29288254956262	51.67178127411548	30.38636391958395	0.07801110643297582	0.06624775344217726	0.15992797509636514	0.05457371950614176	0.12659258370518822	0.07015884558957053	0.05561282204698137
125.88979660276703	51.51714129963204	30.67752837007908	0.07658915206623096	0.06519281146538458	0.15992797509636514	0.053880303567598986	0.12659258370518822	0.0689821849414547	0.054887334282266664
128.77054843567012	51.33580019100408	31.01582171037894	0.07492716328170834	0.06395947168859983	0.15992797509636514	0.05306942517794422	0.12659258370518822	0.0676066596893623	0.054038969636411194
130.9571171738147	51.29600618146037	31.089613808791185	0.07456324437773643	0.06368936669860337	0.15992797509636514	0.052891811516011744	0.12659258370518822	0.06730543243845277	0.05385314769094496
134.88210325434216	50.99482049509196	31.643096629814305	0.0718181284194006	0.06165138103931489	0.15992797509636514	0.05155135259224686	0.12659258370518822	0.06503281836069097	0.05245077120363151
139.7883358550015	50.66956795105344	32.23122469462982	0.06887199741707883	0.05946312559714628	0.15992797509636514	0.050111396571514755	0.12659258370518822	0.0625930153030041	0.05094436221340004
144.6945684556608	50.34652288165579	32.80603250464224	0.06596470081338213	0.057302665333508696	0.15992797509636514	0.04868906130759787	0.12659258370518822	0.06018458889716172	0.049456448673356856
149.60080105632014	50.01276348412312	33.390656598919996	0.06298068662520806	0.05508411264578994	0.15992797509636514	0.047227788691356354	0.12659258370518822	0.05771180121063013	0.047927866186979085
154.50703365697944	49.66392865001856	33.99216824531056	0.05988328293813083	0.05278009929278804	0.15992797509636514	0.04570948400821506	0.12659258370518822	0.05514418625201234	0.046339692924586506
159.64222377900288	49.34594047843803	34.53244158831264	0.05707881649588109	0.05069297229273584	0.15992797509636514	0.04433345060127225	0.12659258370518822	0.05281864616837528	0.044900398054469326
164.2213742062849	48.914453779067	35.25393660484444	0.05330238279832744	0.047880969408410134	0.15992797509636514	0.04247852817803044	0.12659258370518822	0.049685989319725676	0.04296028832591903
169.12760680694424	48.50117603581718	35.93313101383697	0.04971662894135376	0.045209335355596014	0.15992797509636514	0.04071515543937121	0.12659258370518822	0.04671030380900443	0.04111602903212486
174.06654762494128	47.960188954015386	36.80578030905246	0.045069089540516805	0.04174426173427115	0.15992797509636514	0.03842656954771062	0.12659258370518822	0.042851742549815164	0.03872260484812817