,date,film N.,voltage,max velocity,Frame Rate,max velocity (mm/s),offset voltage,v-voff,use
87,2017-06-21,1,2.005,0.008471147,1000,8.471147045,1.11,0.895,1
86,2017-06-21,1,2.022,0.010796797,1000,10.79679654,1.11,0.912,1
88,2017-06-21,1,2.04,0.009744786,1000,9.744785716,1.11,0.93,1
89,2017-06-21,1,2.06,0.013156507,1000,13.15650667,1.11,0.95,1
90,2017-06-21,1,2.082,0.015922596,1000,15.92259596,1.11,0.972,1
91,2017-06-21,1,2.104,0.019728045,0,0,1.11,0.994,0
92,2017-06-26,1,1.2258,0.043300146,1000,43.30014614,1.119,0.1068,1
93,2017-06-26,1,1.233,0.007010979,1000,7.010978523,1.119,0.114,1
94,2017-06-26,1,1.245,0.006653971,1000,6.653970673,1.119,0.126,1
96,2017-06-26,1,1.26,0.016744669,0,0,1.119,0.141,0
95,2017-06-26,1,1.27,0.022062657,1000,22.06265737,1.119,0.151,1
97,2017-06-26,1,1.2825,0.0068163,1500,10.2244504,1.119,0.1635,1
98,2017-06-26,1,1.285,0.02576609,1500,38.64913498,1.119,0.166,1
99,2017-06-27,1,1.21,0.025939498,500,12.96974878,1.123,0.087,1
100,2017-06-27,2,1.221,0.011261153,500,5.63057626,1.123,0.098,1
101,2017-06-27,2,1.235,0.023453536,500,11.72676799,1.119,0.116,1
102,2017-06-27,3,1.245,0.014054126,1000,14.05412648,1.112,0.133,1
103,2017-06-27,3,1.266,0.028168796,1000,28.16879612,1.118,0.148,1
106,2017-06-27,4,1.284,0.035175775,1000,35.1757746,1.118,0.166,1
104,2017-06-27,5,1.277,0.044383231,1000,44.38323077,1.118,0.159,1
105,2017-06-27,5,1.289,0.057653121,0,0,1.117,0.172,0
107,2017-06-27,6,1.308,0.030153257,1500,45.22988485,1.117,0.191,1
108,2017-06-27,6,1.314,0.032085555,1500,48.12833251,1.117,0.197,1
109,2017-06-27,6,1.321,0.034486861,1500,51.73029132,1.117,0.204,1
110,2017-06-27,6,1.327,0.036472388,1500,54.70858256,1.117,0.21,1
111,2017-06-28,1,1.216,0.00593799,500,2.968995144,1.117,0.099,1
115,2017-06-28,1,1.218,0.006775921,500,3.387960656,1.117,0.101,1
114,2017-06-28,1,1.223,0.009596184,500,4.798091854,1.117,0.106,1
112,2017-06-28,1,1.227,0.011209236,500,5.60461815,1.117,0.11,1
113,2017-06-28,1,1.23,0.012612698,500,6.306349074,1.117,0.113,1
133,2017-06-28,1,1.231,0.00788434,1000,7.884340042,1.117,0.114,1
134,2017-06-28,1,1.239,0.056935272,1000,56.93527233,1.117,0.122,1
123,2017-06-28,1,1.244,0.009601501,1500,14.4022522,1.117,0.127,1
119,2017-06-28,1,1.251,0.011641434,1500,17.46215084,1.117,0.134,1
117,2017-06-28,1,1.261,0.015280177,1500,22.92026514,1.117,0.144,1
127,2017-06-28,1,1.263,0.018309347,1500,27.46402087,1.117,0.146,1
118,2017-06-28,1,1.267,0.018445421,1500,27.66813207,1.117,0.15,1
121,2017-06-28,1,1.275,0.02321764,1500,34.82646059,1.117,0.158,1
120,2017-06-28,1,1.281,0.024683605,1500,37.02540781,1.117,0.164,1
125,2017-06-28,1,1.282,0.025698466,1500,38.54769967,1.117,0.165,1
116,2017-06-28,1,1.285,0.025199289,1500,37.79893352,1.117,0.168,1
122,2017-06-28,1,1.296,0.028019401,1500,42.02910134,1.117,0.179,1
124,2017-06-28,1,1.301,0.028936832,1500,43.40524834,1.117,0.184,1
131,2017-06-28,1,1.31,0.028751133,2000,57.50226688,1.117,0.193,1
126,2017-06-28,1,1.311,0.031165265,1500,46.74789749,1.117,0.194,1
132,2017-06-28,1,1.314,0.024156419,2000,48.3128373,1.117,0.197,1
128,2017-06-28,1,1.325,0.026015891,2000,52.03178246,1.117,0.208,1
129,2017-06-28,1,1.327,0.026197741,2000,52.39548112,1.117,0.21,1
130,2017-06-28,1,1.328,0.027134488,2000,54.26897643,1.117,0.211,1
135,2017-06-28,2,1.215,0.043175966,1000,43.17596557,1.117,0.098,1
136,2017-06-28,2,1.226,0.02024998,1000,20.24998043,1.117,0.109,1
137,2017-06-28,2,1.338,0.025139339,2500,62.8483463,1.117,0.221,1
138,2017-06-29,1,1.21,0.003668663,500,1.834331449,1.119,0.091,1
139,2017-06-29,1,1.225,0.012140887,500,6.07044374,1.119,0.106,1
140,2017-06-29,1,1.238,0.012772796,500,6.386398188,1.12,0.118,1
141,2017-06-29,1,1.242,0.017085546,500,8.542773046,1.2,0.042,1
146,2017-06-29,1,1.252,0.018360315,1000,18.360315,1.12,0.132,1
147,2017-06-29,1,1.263,0.015491964,1000,15.49196423,1.12,0.143,1
152,2017-06-29,1,1.266,0.022421082,1500,33.63162257,1.12,0.146,1
148,2017-06-29,1,1.268,0.034594235,1000,34.59423535,1.12,0.148,1
149,2017-06-29,1,1.28,0.028833117,1000,28.83311714,1.12,0.16,1
150,2017-06-29,1,1.291,0.036315344,1000,36.31534383,1.12,0.171,1
153,2017-06-29,1,1.307,0.030802953,2000,61.60590695,1.12,0.187,1
154,2017-06-29,1,1.313,0.032916605,2000,65.83321083,1.12,0.193,1
155,2017-06-29,1,1.323,0.024040074,2000,48.08014781,1.12,0.203,1
156,2017-06-29,1,1.333,0.033014417,2000,66.02883443,1.12,0.213,1
145,2017-06-29,1,1.352,0.019294322,3000,57.88296554,1.12,0.232,1
143,2017-06-29,1,1.373,0.022328822,3000,66.98646699,1.119,0.254,1
144,2017-06-29,1,1.385,0.025677072,3000,77.03121558,1.2,0.185,1
142,2017-06-29,1,1.415,0.033394789,3000,100.1843671,1.119,0.296,1
151,2017-06-29,1,1.441,0.047022853,3500,164.5799846,1.12,0.321,1
47,2017-07-05,1,1.225,0.009719293,500,4.8596464,1.116,0.109,1
48,2017-07-05,1,1.231,0.016626021,500,8.313010525,1.116,0.115,1
49,2017-07-05,1,1.242,0.030166161,500,15.08308062,1.116,0.126,1
50,2017-07-05,1,1.247,0.006857536,1000,6.857535781,1.115,0.132,1
63,2017-07-05,1,1.251,0.012044234,1000,12.0442336,1.117,0.134,1
51,2017-07-05,1,1.254,0.010451262,1000,10.45126217,1.115,0.139,1
52,2017-07-05,1,1.27,0.020230411,1000,20.23041115,1.115,0.155,1
53,2017-07-05,1,1.284,0.031178902,1000,31.17890183,1.115,0.169,1
54,2017-07-05,1,1.295,0.019912281,2000,39.82456107,1.115,0.18,1
55,2017-07-05,1,1.3,0.021770717,2000,43.54143322,1.115,0.185,1
56,2017-07-05,1,1.307,0.023397038,2000,46.79407502,1.115,0.192,1
57,2017-07-05,1,1.322,0.026725971,2000,53.45194158,1.115,0.207,1
58,2017-07-05,1,1.337,0.019570496,3000,58.71148759,1.115,0.222,1
75,2017-07-05,1,1.34,0.021435999,3000,64.30799734,1.115,0.225,0
68,2017-07-05,1,1.343,0.022448759,3000,67.34627597,1.117,0.226,1
59,2017-07-05,1,1.35,0.021294159,3000,63.8824762,1.115,0.235,1
66,2017-07-05,1,1.351,0.023900069,3000,71.70020615,1.117,0.234,1
74,2017-07-05,1,1.36,0.025388197,3000,76.16459009,1.117,0.243,1
69,2017-07-05,1,1.362,0.026012764,3000,78.03829294,1.117,0.245,1
60,2017-07-05,1,1.369,0.0245734,3000,73.72020048,1.115,0.254,1
71,2017-07-05,1,1.372,0.028762819,3000,86.28845777,1.115,0.257,1
72,2017-07-05,1,1.378,0.029659677,3000,88.97903139,1.115,0.263,1
73,2017-07-05,1,1.381,0.030573845,3000,91.72153476,1.115,0.266,1
61,2017-07-05,1,1.382,0.027619169,3000,82.85750787,1.115,0.267,1
65,2017-07-05,1,1.391,0.031290977,3000,93.87293194,1.117,0.274,1
67,2017-07-05,1,1.393,0.033157135,3000,99.47140358,1.117,0.276,1
62,2017-07-05,1,1.402,0.032424602,3000,97.2738062,1.117,0.285,1
64,2017-07-05,1,1.419,0.038285281,3000,114.8558445,1.117,0.302,1
70,2017-07-05,1,1.428,0.040648591,3000,121.9457734,1.117,0.311,1
76,2017-07-07,1,1.168,0.003154315,60,0.189258878,1.117,0.051,0
77,2017-07-07,1,1.169,0.004178035,69,0.288284404,1.115,0.054,0
78,2017-07-07,1,1.171,0.05932142,60,3.559285227,1.117,0.054,0
79,2017-07-07,1,1.176,0.004532452,60,0.271947102,1.115,0.061,0
80,2017-07-07,1,1.179,0.007451192,60,0.447071511,1.117,0.062,0
81,2017-07-07,1,1.184,0.006462104,60,0.387726214,1.115,0.069,0
82,2017-07-07,1,1.185,0.010309155,60,0.618549314,1.117,0.068,0
83,2017-07-07,1,1.188,0.008185891,60,0.491153452,1.117,0.071,0
84,2017-07-07,1,1.192,0.016219474,60,0.973168436,1.115,0.077,0
85,2017-07-07,1,1.212,0.010102967,250,2.525741858,1.117,0.095,0
20,2017-07-10,1,1.554,0.060846628,6200,377.2490915,1.118,0.436,0
21,2017-07-10,1,1.656,0.060096811,4000,240.3872449,1.118,0.538,0
22,2017-07-18,1,1.172,0.038247596,100,3.824759623,1.116,0.056,1
25,2017-07-20,1,1.425,0.060916575,6200,377.6827657,1.123,0.302,1
23,2017-07-20,1,1.429,0.049713881,3000,149.1416421,1.123,0.306,1
24,2017-07-20,1,1.492,0.060934141,6200,377.7916735,1.123,0.369,1
31,2017-07-24,1,1.138,0.002471045,30,0.074131355,1.126,0.012,1
32,2017-07-24,1,1.138,0.001030793,30,0.030923793,1.126,0.012,1
26,2017-07-24,1,1.165,0.003428115,100,0.342811521,1.127,0.038,1
27,2017-07-24,1,1.186,0.006006135,100,0.600613535,1.126,0.06,1
36,2017-07-24,1,1.186,0.008768917,100,0.876891667,1.126,0.06,1
30,2017-07-24,1,1.19,0.007196408,200,1.43928157,1.126,0.064,1
33,2017-07-24,1,1.19,0.006079294,200,1.215858808,1.126,0.064,1
29,2017-07-24,1,1.202,0.008442582,500,4.221291149,1.126,0.076,1
34,2017-07-24,1,1.202,0.006505795,500,3.252897493,1.126,0.076,1
28,2017-07-24,1,1.227,0.026644536,500,13.32226795,1.126,0.101,1
35,2017-07-24,1,1.227,0.026501514,500,13.25075691,1.126,0.101,1
39,2017-07-25,1,1.166,0.004146872,60,0.2488123,1.125,0.041,1
38,2017-07-25,1,1.177,0.058122714,100,5.812271402,1.125,0.052,1
41,2017-07-25,1,1.177,0.005567129,100,0.556712854,1.125,0.052,1
37,2017-07-25,1,1.188,0.010120921,100,1.012092114,1.126,0.062,1
40,2017-07-25,1,1.188,0.01098303,100,1.09830301,1.126,0.062,1
42,2017-07-26,1,1.145,0.002046434,200,0.40928676,1.127,0.018,1
43,2017-07-26,1,1.158,0.005498576,200,1.099715138,1.127,0.031,1
44,2017-07-26,1,1.165,0.007365076,200,1.473015208,1.127,0.038,1
45,2017-07-26,1,1.17,0.023856997,60,1.431419825,1.127,0.043,1
46,2017-07-26,1,1.18,0.013331087,200,2.666217378,1.127,0.053,1
7,2017-09-06,1,1.201,0.008501197,1000,8.501196589,1.126,0.075,1
0,2017-09-06,1,1.22,0.017593353,1000,17.59335324,1.126,0.094,1
1,2017-09-06,1,1.26,0.047645385,1500,71.46807785,1.126,0.134,1
2,2017-09-06,1,1.293,0.052778887,2500,131.9472172,1.126,0.167,1
6,2017-09-06,1,1.313,0.045525283,3500,159.3384904,1.124,0.189,1
3,2017-09-06,1,1.314,0.044421303,3500,155.4745617,1.124,0.19,1
4,2017-09-06,1,1.332,0.052011618,3500,182.0406627,1.124,0.208,1
5,2017-09-06,1,1.346,0.058731178,3500,205.5591223,1.124,0.222,1
9,2017-09-07,1,1.206,0.009928666,1000,9.928666174,1.123,0.083,1
11,2017-09-07,1,1.228,0.019566559,1500,29.34983799,1.122,0.106,1
8,2017-09-07,1,1.229,0.027968111,1000,27.96811147,1.124,0.105,1
15,2017-09-07,1,1.271,0.023712357,3500,82.99324926,1.122,0.149,1
10,2017-09-07,1,1.278,0.059241642,1500,88.86246308,1.122,0.156,1
14,2017-09-07,1,1.281,0.027296776,3500,95.53871688,1.124,0.157,1
13,2017-09-07,1,1.311,0.037334969,3500,130.6723901,1.122,0.189,1
12,2017-09-07,1,1.335,0.045709577,3500,159.9835209,1.122,0.213,1
16,2017-09-07,1,1.353,0.053552232,3500,187.4328128,1.122,0.231,1
17,2017-09-14,1,1.147,0.008868567,100,0.886856701,1.121,0.026,1
18,2017-09-14,1,1.172,0.034989547,200,6.997909387,1.117,0.055,1
19,2017-09-14,1,1.227,0.055093575,750,41.3201816,1.116,0.111,1
